full_name,month,commits
public-apis/public-apis,2025-10,0
public-apis/public-apis,2025-11,1
public-apis/public-apis,2025-12,0
public-apis/public-apis,2026-01,0
public-apis/public-apis,2026-02,1
public-apis/public-apis,2026-03,1
EbookFoundation/free-programming-books,2025-10,436
EbookFoundation/free-programming-books,2025-11,27
EbookFoundation/free-programming-books,2025-12,3
EbookFoundation/free-programming-books,2026-01,8
EbookFoundation/free-programming-books,2026-02,7
EbookFoundation/free-programming-books,2026-03,27
donnemartin/system-design-primer,2025-10,1
donnemartin/system-design-primer,2025-11,2
donnemartin/system-design-primer,2025-12,0
donnemartin/system-design-primer,2026-01,0
donnemartin/system-design-primer,2026-02,0
donnemartin/system-design-primer,2026-03,7
vinta/awesome-python,2025-10,4
vinta/awesome-python,2025-11,5
vinta/awesome-python,2025-12,8
vinta/awesome-python,2026-01,184
vinta/awesome-python,2026-02,45
vinta/awesome-python,2026-03,293
TheAlgorithms/Python,2025-10,16
TheAlgorithms/Python,2025-11,3
TheAlgorithms/Python,2025-12,2
TheAlgorithms/Python,2026-01,5
TheAlgorithms/Python,2026-02,1
TheAlgorithms/Python,2026-03,26
Significant-Gravitas/AutoGPT,2025-10,171
Significant-Gravitas/AutoGPT,2025-11,103
Significant-Gravitas/AutoGPT,2025-12,100
Significant-Gravitas/AutoGPT,2026-01,133
Significant-Gravitas/AutoGPT,2026-02,151
Significant-Gravitas/AutoGPT,2026-03,186
AUTOMATIC1111/stable-diffusion-webui,2025-10,0
AUTOMATIC1111/stable-diffusion-webui,2025-11,0
AUTOMATIC1111/stable-diffusion-webui,2025-12,0
AUTOMATIC1111/stable-diffusion-webui,2026-01,0
AUTOMATIC1111/stable-diffusion-webui,2026-02,0
AUTOMATIC1111/stable-diffusion-webui,2026-03,0
huggingface/transformers,2025-10,369
huggingface/transformers,2025-11,285
huggingface/transformers,2025-12,283
huggingface/transformers,2026-01,284
huggingface/transformers,2026-02,303
huggingface/transformers,2026-03,330
yt-dlp/yt-dlp,2025-10,36
yt-dlp/yt-dlp,2025-11,69
yt-dlp/yt-dlp,2025-12,55
yt-dlp/yt-dlp,2026-01,59
yt-dlp/yt-dlp,2026-02,46
yt-dlp/yt-dlp,2026-03,27
521xueweihan/HelloGitHub,2025-10,1
521xueweihan/HelloGitHub,2025-11,1
521xueweihan/HelloGitHub,2025-12,1
521xueweihan/HelloGitHub,2026-01,1
521xueweihan/HelloGitHub,2026-02,1
521xueweihan/HelloGitHub,2026-03,1
facebook/react,2025-10,164
facebook/react,2025-11,81
facebook/react,2025-12,39
facebook/react,2026-01,65
facebook/react,2026-02,87
facebook/react,2026-03,41
trekhleb/javascript-algorithms,2025-10,1
trekhleb/javascript-algorithms,2025-11,7
trekhleb/javascript-algorithms,2025-12,0
trekhleb/javascript-algorithms,2026-01,4
trekhleb/javascript-algorithms,2026-02,2
trekhleb/javascript-algorithms,2026-03,0
airbnb/javascript,2025-10,0
airbnb/javascript,2025-11,0
airbnb/javascript,2025-12,0
airbnb/javascript,2026-01,0
airbnb/javascript,2026-02,2
airbnb/javascript,2026-03,0
vercel/next.js,2025-10,567
vercel/next.js,2025-11,305
vercel/next.js,2025-12,253
vercel/next.js,2026-01,438
vercel/next.js,2026-02,435
vercel/next.js,2026-03,452
affaan-m/everything-claude-code,2025-10,0
affaan-m/everything-claude-code,2025-11,0
affaan-m/everything-claude-code,2025-12,0
affaan-m/everything-claude-code,2026-01,78
affaan-m/everything-claude-code,2026-02,381
affaan-m/everything-claude-code,2026-03,576
Chalarangelo/30-seconds-of-code,2025-10,4
Chalarangelo/30-seconds-of-code,2025-11,3
Chalarangelo/30-seconds-of-code,2025-12,1
Chalarangelo/30-seconds-of-code,2026-01,4
Chalarangelo/30-seconds-of-code,2026-02,1
Chalarangelo/30-seconds-of-code,2026-03,1
nodejs/node,2025-10,247
nodejs/node,2025-11,240
nodejs/node,2025-12,150
nodejs/node,2026-01,221
nodejs/node,2026-02,199
nodejs/node,2026-03,219
mrdoob/three.js,2025-10,181
mrdoob/three.js,2025-11,204
mrdoob/three.js,2025-12,155
mrdoob/three.js,2026-01,205
mrdoob/three.js,2026-02,147
mrdoob/three.js,2026-03,137
axios/axios,2025-10,27
axios/axios,2025-11,25
axios/axios,2025-12,24
axios/axios,2026-01,14
axios/axios,2026-02,20
axios/axios,2026-03,43
facebook/create-react-app,2025-10,0
facebook/create-react-app,2025-11,0
facebook/create-react-app,2025-12,0
facebook/create-react-app,2026-01,0
facebook/create-react-app,2026-02,0
facebook/create-react-app,2026-03,0
freeCodeCamp/freeCodeCamp,2025-10,468
freeCodeCamp/freeCodeCamp,2025-11,310
freeCodeCamp/freeCodeCamp,2025-12,342
freeCodeCamp/freeCodeCamp,2026-01,338
freeCodeCamp/freeCodeCamp,2026-02,249
freeCodeCamp/freeCodeCamp,2026-03,324
kamranahmedse/developer-roadmap,2025-10,86
kamranahmedse/developer-roadmap,2025-11,87
kamranahmedse/developer-roadmap,2025-12,57
kamranahmedse/developer-roadmap,2026-01,36
kamranahmedse/developer-roadmap,2026-02,49
kamranahmedse/developer-roadmap,2026-03,87
openclaw/openclaw,2025-10,0
openclaw/openclaw,2025-11,288
openclaw/openclaw,2025-12,2148
openclaw/openclaw,2026-01,6071
openclaw/openclaw,2026-02,6948
openclaw/openclaw,2026-03,8823
vuejs/vue,2025-10,0
vuejs/vue,2025-11,0
vuejs/vue,2025-12,0
vuejs/vue,2026-01,0
vuejs/vue,2026-02,0
vuejs/vue,2026-03,0
microsoft/vscode,2025-10,1715
microsoft/vscode,2025-11,1627
microsoft/vscode,2025-12,1191
microsoft/vscode,2026-01,2160
microsoft/vscode,2026-02,2215
microsoft/vscode,2026-03,2483
n8n-io/n8n,2025-10,518
n8n-io/n8n,2025-11,385
n8n-io/n8n,2025-12,497
n8n-io/n8n,2026-01,531
n8n-io/n8n,2026-02,527
n8n-io/n8n,2026-03,542
yangshun/tech-interview-handbook,2025-10,0
yangshun/tech-interview-handbook,2025-11,3
yangshun/tech-interview-handbook,2025-12,0
yangshun/tech-interview-handbook,2026-01,2
yangshun/tech-interview-handbook,2026-02,0
yangshun/tech-interview-handbook,2026-03,13
langgenius/dify,2025-10,306
langgenius/dify,2025-11,311
langgenius/dify,2025-12,458
langgenius/dify,2026-01,355
langgenius/dify,2026-02,271
langgenius/dify,2026-03,661
anomalyco/opencode,2025-10,708
anomalyco/opencode,2025-11,1050
anomalyco/opencode,2025-12,1873
anomalyco/opencode,2026-01,2080
anomalyco/opencode,2026-02,1172
anomalyco/opencode,2026-03,962
excalidraw/excalidraw,2025-10,12
excalidraw/excalidraw,2025-11,17
excalidraw/excalidraw,2025-12,14
excalidraw/excalidraw,2026-01,38
excalidraw/excalidraw,2026-02,24
excalidraw/excalidraw,2026-03,27
