full_name,month,commits,active_contributors,treatment_date,treatment_month,first_ai_file,treated,months_since_treatment,owner_type,queried_language,primary_language,created_at,license,ai_maturity_level,new_stars,new_issues,new_forks,prs_merged,new_releases
donnemartin/system-design-primer,2024-01,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,6072,6,801,0,0
donnemartin/system-design-primer,2024-02,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3204,3,465,0,0
donnemartin/system-design-primer,2024-03,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,2415,1,440,0,0
donnemartin/system-design-primer,2024-04,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,5464,2,813,0,0
donnemartin/system-design-primer,2024-05,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3956,0,625,0,0
donnemartin/system-design-primer,2024-06,2,2,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,4104,9,537,2,0
donnemartin/system-design-primer,2024-07,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3809,5,593,0,0
donnemartin/system-design-primer,2024-08,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3069,2,525,0,0
donnemartin/system-design-primer,2024-09,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3017,78,493,0,0
donnemartin/system-design-primer,2024-10,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3013,5,425,0,0
donnemartin/system-design-primer,2024-11,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,4136,4,506,0,0
donnemartin/system-design-primer,2024-12,1,1,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,6169,8,877,1,0
donnemartin/system-design-primer,2025-01,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,4033,3,586,0,0
donnemartin/system-design-primer,2025-02,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,2941,7,399,0,0
donnemartin/system-design-primer,2025-03,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,4717,1,776,0,0
donnemartin/system-design-primer,2025-04,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,2546,2,406,0,0
donnemartin/system-design-primer,2025-05,1,1,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3761,3,491,1,0
donnemartin/system-design-primer,2025-06,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,4868,22,632,0,0
donnemartin/system-design-primer,2025-07,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,3050,2,395,0,0
donnemartin/system-design-primer,2025-08,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,2773,1,366,0,0
donnemartin/system-design-primer,2025-09,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,2136,3,333,0,0
donnemartin/system-design-primer,2025-10,1,1,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,1211,4,58,0,0
donnemartin/system-design-primer,2025-11,2,2,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,1408,1,0,0,0
donnemartin/system-design-primer,2025-12,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,1334,1,187,0,0
donnemartin/system-design-primer,2026-01,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,1210,2,163,0,0
donnemartin/system-design-primer,2026-02,0,0,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,998,1,138,0,0
donnemartin/system-design-primer,2026-03,7,7,,,,0,,User,Python,Python,2017-02-26T16:15:28Z,NOASSERTION,1,859,1,110,0,0
public-apis/public-apis,2024-01,0,0,,,,0,,Organization,Python,Python,2016-03-20T23:49:42Z,MIT,1,4753,8,525,0,0
