full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
vinta/awesome-python,Python,3,true,3248.0,0.0,0.0,8.0,0.0,3.7,340.0,91.0
public-apis/public-apis,Python,1,true,840.0,2.0,0.0,12.0,0.0,5.7,116.0,170.0
EbookFoundation/free-programming-books,Python,1,true,256.0,0.0,0.0,5.0,0.0,50.5,214.0,184.0
donnemartin/system-design-primer,Python,1,true,1039.0,0.0,0.0,28.0,0.0,12.5,82.0,132.0
TheAlgorithms/Python,Python,1,true,47876.0,23.0,0.0,413.0,1.0,53.7,13164.0,3792.0
vercel/next.js,JavaScript,2,skipped_too_large,,,,,,,,
nodejs/node,JavaScript,1,skipped_too_large,,,,,,,,
mrdoob/three.js,JavaScript,1,skipped_too_large,,,,,,,,
huggingface/transformers,Python,2,true,1014799.0,311.0,0.0,12938.0,35.7,21.5,133444.0,93801.0
AUTOMATIC1111/stable-diffusion-webui,Python,1,true,37049.0,43.0,0.0,1036.0,5.8,8.6,9669.0,8006.0
Significant-Gravitas/AutoGPT,Python,3,true,323843.0,85.0,8.0,3053.0,3.7,10.4,30416.0,26767.0
elastic/elasticsearch,Java,2,skipped_too_large,,,,,,,,
tensorflow/tensorflow,C++,1,skipped_too_large,,,,,,,,
godotengine/godot,C++,1,skipped_too_large,,,,,,,,
torvalds/linux,C,1,skipped_too_large,,,,,,,,
kubernetes/kubernetes,Go,1,skipped_too_large,,,,,,,,
microsoft/vscode,TypeScript,2,scan_failed,,,,,,,,
openclaw/openclaw,TypeScript,2,scan_failed,,,,,,,,
n8n-io/n8n,TypeScript,4,scan_failed,,,,,,,,
langgenius/dify,TypeScript,3,scan_failed,,,,,,,,
freeCodeCamp/devdocs,Ruby,1,scan_failed,,,,,,,,
discourse/discourse,Ruby,2,scan_failed,,,,,,,,
golang/go,Go,1,scan_failed,,,,,,,,
swiftlang/swift,Swift,1,skipped_too_large,,,,,,,,
NationalSecurityAgency/ghidra,Java,1,scan_failed,,,,,,,,
PaddlePaddle/PaddleOCR,Python,1,skipped_too_large,,,,,,,,
OpenBB-finance/OpenBB,Python,1,skipped_too_large,,,,,,,,
odoo/odoo,Python,1,skipped_too_large,,,,,,,,
FoundationAgents/MetaGPT,Python,1,scan_failed,,,,,,,,
microsoft/Web-Dev-For-Beginners,JavaScript,2,skipped_too_large,,,,,,,,
prettier/prettier,JavaScript,1,scan_failed,,,,,,,,
zen-browser/desktop,JavaScript,1,skipped_too_large,,,,,,,,
yarnpkg/yarn,JavaScript,1,scan_failed,,,,,,,,
ToolJet/ToolJet,JavaScript,1,skipped_too_large,,,,,,,,
microsoft/TypeScript,TypeScript,2,skipped_too_large,,,,,,,,
supabase/supabase,TypeScript,3,skipped_too_large,,,,,,,,
ant-design/ant-design,TypeScript,2,true,172981.0,88.0,0.0,2035.0,8.0,5.1,5362.0,8245.0
puppeteer/puppeteer,TypeScript,1,skipped_too_large,,,,,,,,
storybookjs/storybook,TypeScript,3,true,249187.0,180.0,1.0,2612.0,17.5,5.8,13681.0,15952.0
grafana/grafana,TypeScript,2,skipped_too_large,,,,,,,,
mui/material-ui,JavaScript,2,scan_failed,,,,,,,,
nocodb/nocodb,TypeScript,1,skipped_too_large,,,,,,,,
nuxt/nuxt,TypeScript,1,scan_failed,,,,,,,,
ionic-team/ionic-framework,TypeScript,1,skipped_too_large,,,,,,,,
expo/expo,TypeScript,1,skipped_too_large,,,,,,,,
RocketChat/Rocket.Chat,TypeScript,2,skipped_too_large,,,,,,,,
twentyhq/twenty,TypeScript,2,true,651533.0,51.0,13.0,2606.0,10.9,1.5,22102.0,16182.0
babel/babel,TypeScript,1,scan_failed,,,,,,,,
remotion-dev/remotion,TypeScript,3,skipped_too_large,,,,,,,,
janhq/jan,TypeScript,1,skipped_too_large,,,,,,,,
google/guava,Java,1,skipped_too_large,,,,,,,,
payloadcms/payload,TypeScript,3,scan_failed,,,,,,,,
SeleniumHQ/selenium,Java,2,skipped_too_large,,,,,,,,
DefinitelyTyped/DefinitelyTyped,TypeScript,2,scan_failed,,,,,,,,
calcom/cal.com,TypeScript,2,scan_failed,,,,,,,,
Anuken/Mindustry,Java,1,skipped_too_large,,,,,,,,
openjdk/jdk,Java,1,skipped_too_large,,,,,,,,
