s2_paper_id,title,authors,year,cited_version,citation_count,contexts,intents,doi,arxiv_id,classification,confidence,representative_quote,reason
5ea093d67c8c2e5ad5bba0b4c443a5147230bf8a,A Complete Bibliography of Publications in Communications of the ACM : 2020–2029,N. H. Beebe,,FSE2014,1,[],[],,,no_context,,,No citation context available
bb8f318d2e6017026dfda44402e704df7cff145a,AIS Electronic Library (AISeL),R. Paper,,FSE2014,6,"[""The systematic literature review of developer motivation and forking sustainability papers from both a broad and narrow perspective revealed only a small number of papers on programming language sustainability (Ray et al., 2012, 2014; Tegawend\u00e9 et al., 2013)."", ""Despite this, most languages are not interoperable (Tegawende et al., 2013; Ray and Kim, 2012; Ray et al., 2014).""]","[""background""]",,,neutral,,,manual
e139216e15a6100160e51cf2375ef2c1285057e3,Distributed under Creative Commons Cc-by 4.0 Mlitb: Machine Learning in the Browser,Edward Meeds; Nl; S. Ventura; Remco Hendriks; Al Faraby; M. Bruntink; M. Welling,,FSE2014,40,"[""As a result, JavaScript is the most popular programming language on GitHub and its popularity is continuing to grow (Ray et al., 2014).""]","[""background""]",,,neutral,,,manual
361a1829f67122bb02d970360b23c82f4de6e6b5,Exploring the Integration of Machine Learning Models in Programming Languages on GitHub: Impact on Compatibility to Address Them,Faten Slama; I. Ismail,,FSE2014,0,"[""2014 [15] B.Ray, D.Posnett Polyglot-ism(Linguist) Presented a large scale study of language type relates to software quality.""]",[],,,causal,,,manual
efae73fb406810ad60de19d836e1c14e21494a8b,FAUSTA: Scaling Dynamic Analysis with Trafﬁc Generation at WhatsApp,Ke Mao; Lambros Petrou; Matteo Marescotti; Andreas L¨oscher; Mark Harman; Dino Distefano,,FSE2014,1,[],[],,,no_context,,,No citation context available
928b9e08e7e4f9668f660f105afdfec0c537832a,Loyola eCommons Loyola eCommons,Wenxin Jiang; †. NicholasSynovic; Purvish Jajal; Taylor R. Schorlemmer; A. Tewari; Bhavesh Pareek; George K. Thiruvathukal; James C. Davis,,FSE2014,0,"[""By analogy to traditional software, mining PTM software repositories can help us understand development trends [13\u201315] and usage patterns [16,17].""]",[],,,neutral,,,manual
1972aa8697aac3dce4982cbeeb9eeaee348d61cc,Rust for HPC Programming,,,FSE2014,0,"[""One example for this is the possibility and common practice of using void pointers, which demonstrates the weak typing of C [22]."", ""An alternative to explicit memory management is garbage collection, as employed by, for example, the Java programming langage [22].""]",[],,,neutral,,,manual
aa0a67353bbd7df86903c74d23913ba4f7ed437f,Study Group,R. David; Abernathy,1971.0,FSE2014,3129,"[""Proposed solution Rather than providing a full-fledged solution to integrate any project from Github to the existing database, we suggest building up from a small subset of reliably identifiable cases using existing litterature [7, 3, 11] to single out the corrected revision of a designated vulnerability.""]","[""background""]",10.1177/000348947108000404,,neutral,,,manual
24942ef0e0a71a0d640dc3020f58cfe919ce76a7,POLIASTRO: AN ASTRODYNAMICS LIBRARY WRITTEN IN PYTHON WITH FORTRAN PERFORMANCE,Juan Luis; Cano Rodríguez; Helge Eichhorn; F. Mclean,2012.0,FSE2014,6,"[""The variety of type systems across has traditionally been a major source of debate among programmers, and in fact some studies suggest that there is \""a small but signi\ufb01cant relationship between language class and defects\""[6]."", ""For example, if defect density were to be selected as the single \ufb01gure to rank the contenders, well-established languages for space applications such as FORTRAN or C would perform worse than functional languages such as Haskell or Erlang[6].""]","[""background""]",,,causal,,,manual
012089d194955f546353cc87a76948b26aca1ab6,A Comparative Study of Programming Languages in Rosetta Code,S. Nanz; Carlo A. Furia,2014.0,FSE2014,148,"[""[25] mine 729 projects in 17 languages from GitHub."", ""In fact, the association between weak typing and failure proneness was also found in other studies [25]."", ""At the opposite end of the spectrum, empirical studies based on analyzing programs in public repositories such as GitHub [2], [22], [25] can count on large amounts of mature code improved by experienced developers over substantial time spans.""]","[""result"", ""background""]",10.1109/ICSE.2015.90,1409.0252,hedged,,,manual
017a87ffe85bc0657fbc7c0ef664817dbfbbc458,The Highly Accurate N-DEterminant (HANDE) quantum Monte Carlo project: Open-source stochastic diagonalisation for quantum chemistry,J. Spencer; N. S. Blunt; W. A. Vigor; F. Malone; W. Foulkes; J. Shepherd; A. Thom,2014.0,FSE2014,21,"[""A growing trend in HANDE development, which has been successful, is a move towards the use of pure functions, which (along with other functional programming approaches) have been demonstrated to have compelling advantages 14\u201316 .""]","[""background""]",10.5334/jors.bw,1407.5407,neutral,,,manual
5077b7b61e49e3211001209b055a0d3e0f486e7c,A Data Set for Social Diversity Studies of GitHub Teams,Bogdan Vasilescu; Alexander Serebrenik; V. Filkov,2015.0,FSE2014,101,"[""This semi-automated approach (described in detail in [22]) uses LDA, a well known topic analysis algorithm, on project descriptions and Readme files, and is able to classify projects into 11 domains: Web, Mobile, Mid tier, GUI, Application, Program analysis, DB, Development framework, Library, Educational, and Other.""]","[""methodology""]",10.1109/MSR.2015.77,,neutral,,,manual
7735db5bcf041321facf0a9598e409eaf70545d6,A Holistic Overview of Software Engineering Research Strategies,Klaas-Jan Stol; Brian Fitzgerald,2015.0,FSE2014,25,[],[],10.1109/CESI.2015.15,,no_context,,,No citation context available
